"Channel Id","Channel Url","Channel Title"
"UCB4NFn-8oipHct0IfAQBQrQ","http://www.youtube.com/channel/UCB4NFn-8oipHct0IfAQBQrQ","Unnecessary Inventions"
"UCBM6AwaDl8uPVAN_BUIqPUw","http://www.youtube.com/channel/UCBM6AwaDl8uPVAN_BUIqPUw","Anurag Aggarwal: Business Coach"
"UCB_l9j53BhS-UNxXO4y282A","http://www.youtube.com/channel/UCB_l9j53BhS-UNxXO4y282A","Funcho"
"UCB_qr75-ydFVKSF9Dmo6izg","http://www.youtube.com/channel/UCB_qr75-ydFVKSF9Dmo6izg","FORMULA 1"
"UCBpYhz2nYLWulLJTTJ9cqsA","http://www.youtube.com/channel/UCBpYhz2nYLWulLJTTJ9cqsA","Pranit More"
"UCBqFKDipsnzvJdt6UT0lMIg","http://www.youtube.com/channel/UCBqFKDipsnzvJdt6UT0lMIg","Sandeep Maheshwari"
"UCCOrp7GPgZA8EGrbOcIAsyQ","http://www.youtube.com/channel/UCCOrp7GPgZA8EGrbOcIAsyQ","Phone Repair Guru"
"UCCQEbqDL8i40d83Au55lYMQ","http://www.youtube.com/channel/UCCQEbqDL8i40d83Au55lYMQ","Jacob Clifford"
"UCDHQsUdSQE3p4i5vCXB7uFA","http://www.youtube.com/channel/UCDHQsUdSQE3p4i5vCXB7uFA","RAAAZ by BigBrainco."
"UCDogdKl7t7NHzQ95aEwkdMw","http://www.youtube.com/channel/UCDogdKl7t7NHzQ95aEwkdMw","Sidemen"
"UCE_M8A5yxnLfW0KghEeajjw","http://www.youtube.com/channel/UCE_M8A5yxnLfW0KghEeajjw","Apple"
"UCEik-U3T6u6JA0XiHLbNbOw","http://www.youtube.com/channel/UCEik-U3T6u6JA0XiHLbNbOw","Bozeman Science"
"UCEkcTVBFaqUcV-jXSUTCByw","http://www.youtube.com/channel/UCEkcTVBFaqUcV-jXSUTCByw","physicsbybowman"
"UCFBpVaKCC0ajGps1vf0AgBg","http://www.youtube.com/channel/UCFBpVaKCC0ajGps1vf0AgBg","Humphrey Yang"
"UCG6osfwzb-1KkQjG_TOwtmQ","http://www.youtube.com/channel/UCG6osfwzb-1KkQjG_TOwtmQ","Devarsh Dave Vlogs"
"UCGIJ2YVxhbQooO-oqpNj1cA","http://www.youtube.com/channel/UCGIJ2YVxhbQooO-oqpNj1cA","VideshMaVatan"
"UCGqQyUn6jz0MukzUEiMUAYw","http://www.youtube.com/channel/UCGqQyUn6jz0MukzUEiMUAYw","ANStory Recap"
"UCGt7X90Au6BV8rf49BiM6Dg","http://www.youtube.com/channel/UCGt7X90Au6BV8rf49BiM6Dg","Ray William Johnson"
"UCH4BNI0-FOK2dMXoFtViWHw","http://www.youtube.com/channel/UCH4BNI0-FOK2dMXoFtViWHw","Be Smart"
"UCH7eLqAAuFhDOrZq62KXaoA","http://www.youtube.com/channel/UCH7eLqAAuFhDOrZq62KXaoA","Farooq Syed"
"UCHAK6CyegY22Zj2GWrcaIxg","http://www.youtube.com/channel/UCHAK6CyegY22Zj2GWrcaIxg","Tech Vision"
"UCHnyfMqiRRG1u-2MsSQLbXA","http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA","Veritasium"
"UCHtHgSrJ8Q7AQl2DiZZyV9Q","http://www.youtube.com/channel/UCHtHgSrJ8Q7AQl2DiZZyV9Q","David Paykin"
"UCILl8ozWuxnFYXIe2svjHhg","http://www.youtube.com/channel/UCILl8ozWuxnFYXIe2svjHhg","BPS.space"
"UCIzIX1qgW7P3eF6JCk_afCA","http://www.youtube.com/channel/UCIzIX1qgW7P3eF6JCk_afCA","Charles Leclerc"
"UCJihyK0A38SZ6SdJirEdIOw","http://www.youtube.com/channel/UCJihyK0A38SZ6SdJirEdIOw","Gate Smashers"
"UCKSVUHI9rbbkXhvAXK-2uxA","http://www.youtube.com/channel/UCKSVUHI9rbbkXhvAXK-2uxA","Supercar Blondie"
"UCKi6faDKVyLs5mhbAWQ-T4w","http://www.youtube.com/channel/UCKi6faDKVyLs5mhbAWQ-T4w","DC AND MARVEL CHANNEL"
"UCKmmERguliWTynG9OIoDhDw","http://www.youtube.com/channel/UCKmmERguliWTynG9OIoDhDw","Law By Mike"
"UCKvn9VBLAiLiYL4FFJHri6g","http://www.youtube.com/channel/UCKvn9VBLAiLiYL4FFJHri6g","F2Freestylers - Ultimate Soccer Skills Channel"
"UCLA_DiR1FfKNvjuUpBHmylQ","http://www.youtube.com/channel/UCLA_DiR1FfKNvjuUpBHmylQ","NASA"
"UCLFKCWWw38y4_2JoHFiPj9Q","http://www.youtube.com/channel/UCLFKCWWw38y4_2JoHFiPj9Q","Pratik Chauhan"
"UCLYWe-bda5k539dLkDmteRQ","http://www.youtube.com/channel/UCLYWe-bda5k539dLkDmteRQ","Facttechz Video"
"UCLh7bxDdS06ZPHonft4B3_w","http://www.youtube.com/channel/UCLh7bxDdS06ZPHonft4B3_w","Diana LaBarbera"
"UCMiJRAwDNSNzuYeN2uWa0pA","http://www.youtube.com/channel/UCMiJRAwDNSNzuYeN2uWa0pA","Mrwhosetheboss"
"UCMkmYSiSQKsy0mibf5mN7qw","http://www.youtube.com/channel/UCMkmYSiSQKsy0mibf5mN7qw","StockAdda with Janak"
"UCOU9l0XsEmJPr-PGcb8F5ZA","http://www.youtube.com/channel/UCOU9l0XsEmJPr-PGcb8F5ZA","RSMSA"
"UCOcD_2N04_XS6XgImIWcR1Q","http://www.youtube.com/channel/UCOcD_2N04_XS6XgImIWcR1Q","MR. INDIAN HACKER Vlogs"
"UCPAI6tB0UkzopXHW58me4RA","http://www.youtube.com/channel/UCPAI6tB0UkzopXHW58me4RA","Jigrra"
"UCPk2s5c4R_d-EUUNvFFODoA","http://www.youtube.com/channel/UCPk2s5c4R_d-EUUNvFFODoA","Gohar Khan"
"UCQ4FNww3XoNgqIlkBqEAVCg","http://www.youtube.com/channel/UCQ4FNww3XoNgqIlkBqEAVCg","Iman Gadzhi"
"UCQYRGzYaVa7aWd8TsbjdJ6Q","http://www.youtube.com/channel/UCQYRGzYaVa7aWd8TsbjdJ6Q","Aakash Chopra"
"UCR-foyF-C6VuAlwy3KZMkgA","http://www.youtube.com/channel/UCR-foyF-C6VuAlwy3KZMkgA","Dr. Vivek Bindra: Motivational Speaker"
"UCR1IuLEqb6UEA_zQ81kwXfg","http://www.youtube.com/channel/UCR1IuLEqb6UEA_zQ81kwXfg","Real Engineering"
"UCREe8FVF7VxaTGwH-84hMlA","http://www.youtube.com/channel/UCREe8FVF7VxaTGwH-84hMlA","Vikas Gawri"
"UCRgMIwmmh1-2k5HeTQ2cdkQ","http://www.youtube.com/channel/UCRgMIwmmh1-2k5HeTQ2cdkQ","Gaurav Thakur"
"UCRijo3ddMTht_IHyNSNXpNQ","http://www.youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ","Dude Perfect"
"UCRjTEkDLPREZNlREZMlotMQ","http://www.youtube.com/channel/UCRjTEkDLPREZNlREZMlotMQ","Al Sweigart"
"UCRjdhRziOme0OSmUwbnwebg","http://www.youtube.com/channel/UCRjdhRziOme0OSmUwbnwebg","Shemaroo Gujarati"
"UCS7CnHtninM4TweGqpQTEtA","http://www.youtube.com/channel/UCS7CnHtninM4TweGqpQTEtA","Unfinance"
"UCSiDGb0MnHFGjs4E2WKvShw","http://www.youtube.com/channel/UCSiDGb0MnHFGjs4E2WKvShw","MR. INDIAN HACKER"
"UCSpFnDQr88xCZ80N-X7t0nQ","http://www.youtube.com/channel/UCSpFnDQr88xCZ80N-X7t0nQ","Corridor Crew"
"UCSrVFOM3oug4JsRZIyZImwA","http://www.youtube.com/channel/UCSrVFOM3oug4JsRZIyZImwA","Saafar"
"UCT4iTe4eB9aRn2p3jRuGlDA","http://www.youtube.com/channel/UCT4iTe4eB9aRn2p3jRuGlDA","Josh Otusanya"
"UCTFgh6N-dBSnUEyzL4WJKnA","http://www.youtube.com/channel/UCTFgh6N-dBSnUEyzL4WJKnA","Space Chip"
"UCTbcSRduRJJTMaQhUVqywRw","http://www.youtube.com/channel/UCTbcSRduRJJTMaQhUVqywRw","Mentour Now!"
"UCU5eV0c0SE0TMXrV8P94jAQ","http://www.youtube.com/channel/UCU5eV0c0SE0TMXrV8P94jAQ","Learn with Jaspal"
"UCUDlvPp1MlnegYXOXzj7DEQ","http://www.youtube.com/channel/UCUDlvPp1MlnegYXOXzj7DEQ","Krista King"
"UCUMccND2H_CVS0dMZKCPCXA","http://www.youtube.com/channel/UCUMccND2H_CVS0dMZKCPCXA","FinnovationZ by Prasad"
"UCVHSQXYWZ8AP6od8wJOy1EA","http://www.youtube.com/channel/UCVHSQXYWZ8AP6od8wJOy1EA","Alfaz Sumra Vlogs"
"UCVOTBwF0vnSxMRIbfSE_K_g","http://www.youtube.com/channel/UCVOTBwF0vnSxMRIbfSE_K_g","Labour Law Advisor"
"UCVc6AHfGw9b2zOE_ZGfmsnw","http://www.youtube.com/channel/UCVc6AHfGw9b2zOE_ZGfmsnw","Make Anything"
"UCWc8CackfCo4q46FpEWBcPg","http://www.youtube.com/channel/UCWc8CackfCo4q46FpEWBcPg","Jeenie.Weenie"
"UCX8pnu3DYUnx8qy8V_c6oHg","http://www.youtube.com/channel/UCX8pnu3DYUnx8qy8V_c6oHg","Techno Gamerz"
"UCXl0djQ2IljcG-shgv-hIEA","http://www.youtube.com/channel/UCXl0djQ2IljcG-shgv-hIEA","Daniel Iles Shorts"
"UCXvCI4YnkGhGV8ei4vE9h4A","http://www.youtube.com/channel/UCXvCI4YnkGhGV8ei4vE9h4A","Jose.elcook"
"UCY1kMZp36IQSyNx_9h4mpCg","http://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg","Mark Rober"
"UCYc-mvnje_nErLnQODxaIug","http://www.youtube.com/channel/UCYc-mvnje_nErLnQODxaIug","Falguni Pathak"
"UCYilJD4CcBeRTt42w7klb2g","http://www.youtube.com/channel/UCYilJD4CcBeRTt42w7klb2g","Monalisa Bhosle 08"
"UCYqACVYl0c0BhlVN6X2HIMg","http://www.youtube.com/channel/UCYqACVYl0c0BhlVN6X2HIMg","Flipping Physics"
"UCZSlfzadjnw7G419c_OJ9eg","http://www.youtube.com/channel/UCZSlfzadjnw7G419c_OJ9eg","Mrwhosetheboss Plus"
"UC_bOoi0e3L3SJ1xx5TZWHPw","http://www.youtube.com/channel/UC_bOoi0e3L3SJ1xx5TZWHPw","Heimler's History"
"UCa2KrEq6Opk88wz55egishQ","http://www.youtube.com/channel/UCa2KrEq6Opk88wz55egishQ","Build Core"
"UCaLXjpWZhTvBNbiFhoGHpIQ","http://www.youtube.com/channel/UCaLXjpWZhTvBNbiFhoGHpIQ","Trade Tactics"
"UCatL-c6pmnjzEOHSyjn-sHA","http://www.youtube.com/channel/UCatL-c6pmnjzEOHSyjn-sHA","Khan GS Research Centre"
"UCbsfyGlrjrKQC0gbzK0-EiA","http://www.youtube.com/channel/UCbsfyGlrjrKQC0gbzK0-EiA","Jared Owen"
"UCcUuE5-u_z8O1mz701zVtfQ","http://www.youtube.com/channel/UCcUuE5-u_z8O1mz701zVtfQ","Vatsalya Borsad"
"UCcmlrHbjPs2UiBrnxZlTGxA","http://www.youtube.com/channel/UCcmlrHbjPs2UiBrnxZlTGxA","Incredible Himachal"
"UCdFGdIh0CZa_oF8MJAowsEw","http://www.youtube.com/channel/UCdFGdIh0CZa_oF8MJAowsEw","Akaash Singh"
"UCdHE6yw63QqfxoH6y-D5sFg","http://www.youtube.com/channel/UCdHE6yw63QqfxoH6y-D5sFg","Funcho Shorts"
"UCdOQ31H7cO70a4dWYpjTGmA","http://www.youtube.com/channel/UCdOQ31H7cO70a4dWYpjTGmA","Jason Patel's Legendary Leader"
"UCdl3ece6ZfQwsiLbMnh2bCw","http://www.youtube.com/channel/UCdl3ece6ZfQwsiLbMnh2bCw","AstroKobi"
"UCdqp0KK_Io7TwK5cJMBvB0Q","http://www.youtube.com/channel/UCdqp0KK_Io7TwK5cJMBvB0Q","WhistlinDiesel"
"UCdrXELaFNzdCFAwFs7Ns0pQ","http://www.youtube.com/channel/UCdrXELaFNzdCFAwFs7Ns0pQ","Paras Pandhi"
"UCds9ox_aTIGDCpB6rODmS7w","http://www.youtube.com/channel/UCds9ox_aTIGDCpB6rODmS7w","Walk With Me Tim"
"UCe537LbL4GoV8LV1mirqnDw","http://www.youtube.com/channel/UCe537LbL4GoV8LV1mirqnDw","Infomance"
"UCebC4x5l2-PQxg46Ucv9CsA","http://www.youtube.com/channel/UCebC4x5l2-PQxg46Ucv9CsA","Crazy XYZ"
"UCewMTclBJZPaNEfbf-qYMGA","http://www.youtube.com/channel/UCewMTclBJZPaNEfbf-qYMGA","JackSucksAtLife"
"UCfOF7Jw4GfLK9BvAlZ9Vvww","http://www.youtube.com/channel/UCfOF7Jw4GfLK9BvAlZ9Vvww","KD Digital"
"UCgGeTVwsHR2_J-2-lpwP2rw","http://www.youtube.com/channel/UCgGeTVwsHR2_J-2-lpwP2rw","Jasstag"
"UCgzQvF-7-HBOIkcHh2dM2rw","http://www.youtube.com/channel/UCgzQvF-7-HBOIkcHh2dM2rw","Parth Studio Ashi"
"UCh5mLn90vUaB1PbRRx_AiaA","http://www.youtube.com/channel/UCh5mLn90vUaB1PbRRx_AiaA","MoreSidemen"
"UChD7Sm4Gj1z_RiuteNX3U2w","http://www.youtube.com/channel/UChD7Sm4Gj1z_RiuteNX3U2w","Aaditya Iyengar"
"UCisy6taOAeLfyaCqcMQDfig","http://www.youtube.com/channel/UCisy6taOAeLfyaCqcMQDfig","Max Klymenko"
"UCjjfmwJs1Mjc1OVyFnyjZyw","http://www.youtube.com/channel/UCjjfmwJs1Mjc1OVyFnyjZyw","Sing Chana"
"UClZbmi9JzfnB2CEb0fG8iew","http://www.youtube.com/channel/UClZbmi9JzfnB2CEb0fG8iew","Primal Space"
"UClkHyWtMdbSCzfTPkXwq8Zg","http://www.youtube.com/channel/UClkHyWtMdbSCzfTPkXwq8Zg","TCF Xcess"
"UCm-n6fRCD8POwCBT31NQdJQ","http://www.youtube.com/channel/UCm-n6fRCD8POwCBT31NQdJQ","Chirayu Mistry"
"UCmo9ZEJ3ipgaZdkiRRYtLAg","http://www.youtube.com/channel/UCmo9ZEJ3ipgaZdkiRRYtLAg","Dude Perfect Plus"
"UCn2JOViAAWssWefchGpTNvw","http://www.youtube.com/channel/UCn2JOViAAWssWefchGpTNvw","ClayTrader"
"UCnEiGCE13SUI7ZvojTAVBKw","http://www.youtube.com/channel/UCnEiGCE13SUI7ZvojTAVBKw","Bill Gates"
"UCnHwJSPX6956oVFmfnQ6INw","http://www.youtube.com/channel/UCnHwJSPX6956oVFmfnQ6INw","Celine Flordegin"
"UCnM_Dh_3p-m3M-1tF0E9Cjw","http://www.youtube.com/channel/UCnM_Dh_3p-m3M-1tF0E9Cjw","Emma Heesters"
"UCnSFZ-olBoLGLRUS_3RI2Aw","http://www.youtube.com/channel/UCnSFZ-olBoLGLRUS_3RI2Aw","Taarak Mehta Ka Ooltah Chashmah"
"UCnSHHfS-nwoZXQkU6xi4L9Q","http://www.youtube.com/channel/UCnSHHfS-nwoZXQkU6xi4L9Q","Invest Mindset"
"UCnTA4AMRMSwUCNNh-tI1zdA","http://www.youtube.com/channel/UCnTA4AMRMSwUCNNh-tI1zdA","Hardik Chauhan"
"UCoL68NLLSUQqEDwMZPvrdEg","http://www.youtube.com/channel/UCoL68NLLSUQqEDwMZPvrdEg","TechBurner Shorts"
"UCoSG43KFjTe0trsteSQ46Ng","http://www.youtube.com/channel/UCoSG43KFjTe0trsteSQ46Ng","Timothy Sykes"
"UCp68_FLety0O-n9QU6phsgw","http://www.youtube.com/channel/UCp68_FLety0O-n9QU6phsgw","colinfurze"
"UCpKbNuRROd1YBVwRz_vvhJw","http://www.youtube.com/channel/UCpKbNuRROd1YBVwRz_vvhJw","The Princeton Review"
"UCq-Fj5jknLsUf-MWSy4_brA","http://www.youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA","T-Series"
"UCqAX-HcQLMhOi3NHmGEf6oQ","http://www.youtube.com/channel/UCqAX-HcQLMhOi3NHmGEf6oQ","Mumbaikar!"
"UCqZQJ4600a9wIfMPbYc60OQ","http://www.youtube.com/channel/UCqZQJ4600a9wIfMPbYc60OQ","Sabin Civil Engineering"
"UCrfKs1Lm9hV_YBo0SHf2IBA","http://www.youtube.com/channel/UCrfKs1Lm9hV_YBo0SHf2IBA","Tausif Hussain"
