video_id,ts,view_count
wQZd93U4ocM,1754891002,841026
rwWK4WX2qaI,1754891002,1139665
KBvtvnYmi5w,1754891002,869626
zTMb31shzqg,1754891002,421511
vD8QDQ0_4N0,1754891002,1114475
jsuKKJmEuOQ,1754891002,876197
zRHUUAL5zog,1754891002,220336
MPQCtlrMOp8,1754891002,1144255
TnuofQt7GTI,1754891002,907959
O_0Wn73AnC8,1754891002,3167935
SHTF9ArFQCE,1754891002,249638
3bEZj5SbXLY,1754891002,153386
DjaCGge3Mzk,1754891002,285819
Z6Fo9U-_6AA,1754891002,1752737
60VpgdjtL3s,1754891002,146383
cIHbfO1G8Bg,1754891002,319273
xBocmjcn1MI,1754891002,219505
LeG3jPeeMec,1754891002,610123
ShxQ7N_KGuY,1754891002,583349
dku79-2_SCQ,1754891002,160393
eq36Q5RzHoQ,1754891002,323271
KDnKIryNPgQ,1754891002,303999
ORaTxZgMAnY,1754891002,697373
9Z97tEfd2Ws,1754891002,249912
IZNbYkhmfZs,1754891002,1190596
rXU7je1_Ons,1754891002,915265
tnbfeAFu7OY,1754891002,304827
6MWlBf2lhno,1754891002,633460
4Z_P1gfpZrI,1754891002,1312769
0loJa3UvZXo,1754891002,574654
QhxnImk2GFQ,1754891002,1067774
bqWqhWcOedk,1754891002,468715
hbzNfz0im0I,1754891002,295954
vGmQrRVEvJ8,1754891002,5632288
CcXAQ6xhBsA,1754891002,894395
eWqG8qsOoAg,1754891002,490300
1u-6OEpp_Ek,1754891002,216339
p5CoPVIhXgM,1754891002,583156
xptCUHbdI-c,1754891002,83542
kR9TrOxuf0Y,1754891002,93076
XVGCAphlSfI,1754891002,74562
UlQflwXEp1c,1754891002,79970
KgIvHe5KDMw,1754891002,85403
KRuA-YkG77k,1754891002,70622
GJDzJQpwXXQ,1754891002,73024
FWk3Z8FoHQ0,1754891002,66095
MWE9AedGhXY,1754891002,3655159
hLcbc5L8vI8,1754891002,31374
_vsPcevFIyk,1754891002,4625879
npaSGtAVmtM,1754891002,224754
Aqd4zAFjgTs,1754891002,69959
uGpgoM2Bd0o,1754891002,211803
m4DVbm9zeR0,1754891002,13086001
ro7oK6AsXfg,1754891002,676550
b6-JNeXxN3s,1754891002,51109078
zp0CXkhw_K4,1754891002,1306066
RRLAiwPgukI,1754891002,3632567
ab4cwQOMqLY,1754891002,5619765
7N2AyEj2TyY,1754891002,9607011
doEjuluqimA,1754891002,14348385
jiGFVNMWkbk,1754891002,78949
zDkUDVK_eeA,1754891002,58086
roPuoqsGzIg,1754891002,1856346
mr38NDV9ukM,1754891002,152598
CBCu1gB38B8,1754891002,201047
PY4cjoUfXXU,1754891002,282498
mANvg9R1xeI,1754891002,300564
SSaaupR7TGQ,1754891002,104146
PRWockrwEXU,1754891002,57330594
PvOYrm_JZc8,1754891002,84225454
yag45vXzPLs,1754891002,160346
8wuXlwBdK4o,1754891002,181301
N3P8uMWfuvc,1754891002,443674
B_59lBNjosE,1754891002,375841
NBIJ60jbCFk,1754891002,208166
HY-385Mj5ZY,1754891002,170485
yEFpjAqQjb8,1754891002,20928
CFTGp_hhQvk,1754891002,240906
ePX4xeTAcjo,1754891002,200756
rUsUANg7mJU,1754891002,318574
8kdv7wsz-Us,1754891002,340644
v4Ku_-q1e7c,1754891002,219794
Xto29mrzrYs,1754891002,551729
ECMay7-AVJc,1754891002,222822
W9TIOKxd3zE,1754891002,91888
dxErxB5E2Ks,1754891002,373705
VYe7EKdq9r8,1754891002,513065
Q5taYH424Pc,1754891002,133087040
nZAN4wt0gIM,1754891002,137897
CzvtgDBjQ2I,1754891002,1231077
pNe7nYdPOGQ,1754891002,333825
nF8PfgE8w_g,1754891002,192563
IlapqLUguFQ,1754891002,222803
bS0k5LEl3-w,1754891002,440167
eN193OtY1W8,1754891002,913581
-HGVKUBv59w,1754891002,156975
5MKilEbDLh4,1754891002,1682394
s3pNSLFNWSk,1754891002,365091
MVB1cbe923A,1754891002,108085
HOMXxrSrNuw,1754891002,75979
Q7mS1VHm3Yw,1754891002,311369
G4MBc40rQ2k,1754891002,102800
5OwcsVw-N8k,1754891002,113828
Ml16g_qNIqw,1754891002,725
KyyDuxjVI7Y,1754891002,1428
amJNZxofSZk,1754891002,850071
yzr2rXRGJz8,1754891002,15358108
t5jAJgffdJ4,1754891002,1382180
tBIBSmTj74A,1754891002,614699
M-nWBQp5jO4,1754891002,62425
cOJwGIqG0WE,1754891002,1494522
toKKnzy5eM0,1754891002,71999
W1FzfKrT5LM,1754891002,4414433
lLtktmvjFuI,1754891002,46991
ZhIVZHEh-7w,1754891002,457273
1vSV9_dyqWI,1754891002,12872
6jig0F2350o,1754891002,11737904
1h648ZlJFtM,1754891002,400213
KnZEH3-9pnM,1754891002,4236280
j8H3QjR0dKc,1754891002,4249453
jrmN1zggt_k,1754891002,1406661
